,loss,accuracy,val_loss,val_accuracy
0,0.6480347514152527,0.8198198080062866,0.5112090706825256,0.8629032373428345
1,0.49109238386154175,0.8504504561424255,0.49729931354522705,0.8629032373428345
2,0.47827374935150146,0.8576576709747314,0.488267719745636,0.8629032373428345
3,0.46993544697761536,0.8630630373954773,0.4866088032722473,0.8629032373428345
4,0.4654388725757599,0.8648648858070374,0.48420992493629456,0.8629032373428345
5,0.45862340927124023,0.8648648858070374,0.4676070511341095,0.8629032373428345
6,0.44994106888771057,0.8666666746139526,0.45909300446510315,0.8629032373428345
7,0.4364711046218872,0.8720721006393433,0.45293185114860535,0.875
8,0.4307120740413666,0.8666666746139526,0.4470210671424866,0.875
9,0.4284898340702057,0.8720721006393433,0.4536884129047394,0.875
10,0.41934582591056824,0.8756756782531738,0.4963327944278717,0.8629032373428345
11,0.4395890533924103,0.8684684634208679,0.47684749960899353,0.8629032373428345
12,0.4191778600215912,0.8738738894462585,0.4491395652294159,0.875
13,0.41135022044181824,0.8738738894462585,0.46703675389289856,0.8669354915618896
14,0.40435677766799927,0.8828828930854797,0.4580354392528534,0.8669354915618896
15,0.40408074855804443,0.8756756782531738,0.4442055821418762,0.875
16,0.39961135387420654,0.8810811042785645,0.4786357879638672,0.8629032373428345
17,0.4104931950569153,0.8720721006393433,0.44859039783477783,0.875
18,0.39430150389671326,0.8774774670600891,0.4815800189971924,0.8629032373428345
19,0.42589041590690613,0.8666666746139526,0.4769822955131531,0.8629032373428345
20,0.40339910984039307,0.8756756782531738,0.4715992510318756,0.8629032373428345
21,0.41312217712402344,0.8774774670600891,0.47098052501678467,0.8629032373428345
22,0.3925303518772125,0.8756756782531738,0.469150573015213,0.8669354915618896
23,0.4055188298225403,0.8738738894462585,0.4730733335018158,0.8629032373428345
24,0.3933769464492798,0.8738738894462585,0.4572167694568634,0.8669354915618896
25,0.3901787996292114,0.8756756782531738,0.48565539717674255,0.8629032373428345
